[Name]                                                      :   #N   #S   #C   #T(  #E:  #I) | 1 2 3 4 5 6 7 | Complexity
Sen****************                                         :   11   10    1   13(   9:   4) | - - - - - - - |   0,900000
PIO*******                                                  :    2    2    0    1(   1:   0) | - - - - - - + |   0,500000
Dev*****************                                        :    4    4    0   16(   5:  11) | - - - - - - - |   1,250000
Dev*************************                                :    5    5    0   11(   6:   5) | - - - - - - - |   1,200000
Ser***************                                          :    3    3    0    3(   2:   1) | - - - - - - - |   0,666667
Can************                                             :    3    3    0    3(   2:   1) | - - - - - - - |   0,666667
TCP************                                             :    2    2    0    2(   1:   1) | - - - - - - - |   0,500000
UDP************                                             :    2    2    0    3(   2:   1) | - - - - - - - |   1,000000
Pla********                                                 :    4    4    0   13(   5:   8) | - - + - - - - |   1,250000
Fra*******                                                  :    3    3    0   12(   3:   9) | - - - - - - - |   1,000000
Ini*                                                        :    5    5    0    9(   4:   5) | - - - + + - - |   0,800000
act*****                                                    :    3    3    0    5(   4:   1) | - - - + - - - |   1,333333
lev*************                                            :    2    2    0    3(   1:   2) | - - - + - - - |   0,500000
Veh***********                                              :    3    3    0    2(   2:   0) | - - - - - - - |   0,666667
Fir************                                             :   60   56    4  114(  79:  35) | - + - - - - - |   1,410714
Fir*******************                                      :    8    8    0   22(   3:  19) | - - - - - - - |   0,375000
FSS*****                                                    :    2    2    0    8(   0:   8) | - - - - - - - |   0,000000
Tar*************                                            :    8    8    0   13(   9:   4) | - - + - - - - |   1,125000
VxE*********                                                :    2    2    0    2(   2:   0) | - - - - - - - |   1,000000
VxC************                                             :    2    2    0    2(   1:   1) | - - - - - - - |   0,500000
VxD***********                                              :    2    2    0    5(   1:   4) | - - - - - - - |   0,500000
VxD***************                                          :    2    2    0    6(   2:   4) | - - - - - - - |   1,000000
VxC******************                                       :    5    5    0    7(   6:   1) | - - - + - - - |   1,200000
VxC***************                                          :    2    2    0    3(   1:   2) | - - - - - - - |   0,500000
vxC************                                             :    4    4    0    6(   5:   1) | - - - + - - - |   1,250000
VxP**                                                       :    2    2    0    2(   1:   1) | - - - - - - - |   0,500000
VxC******                                                   :    2    2    0    3(   2:   1) | - - - - - - - |   1,000000
VxL*****                                                    :    2    2    0    3(   1:   2) | - - - - - - - |   0,500000
VxC**************                                           :    3    3    0    5(   4:   1) | - - - + - - - |   1,333333
OMH***********                                              :    2    2    0    2(   2:   0) | - - - - - - - |   1,000000
OMC***                                                      :    4    4    0    6(   6:   0) | - - + - - - - |   1,500000

[Total number of processed elements]
#SM:126
#N:1908
#S:1825
#C:83
#T:3660

[AntiPattern Hits]              #SM   #S   #T
_1_CSDAntiPattern                 1    0    0
_2_TBSWDHAntiPattern             16    0   80
_3_TWCWOEAntiPattern             22    0   75
_4_ISNAntiPattern                12   30    0
_5_URSAntiPattern                10   12    0
_6_NCAntiPattern                  2    0    2
_7_UNSAntiPattern                 4    6    0
