[Name];#N;#S;#C;#T;#E;#I;1;2;3;4;5;6;7;Complexity
Com*****;47;47;0;137;75;62;-;-;+;-;-;-;-;1,595745
Com******;17;17;0;40;20;20;-;-;+;-;-;-;-;1,176471
Mod********;41;40;1;130;41;89;-;-;-;-;-;-;-;1,025
Aut***************;22;20;2;34;27;7;-;+;+;-;-;-;-;1,35
Err*****;4;4;0;6;4;2;-;-;-;-;-;-;-;1
tas********;7;7;0;8;6;2;-;+;-;-;-;-;-;0,857143
low************;3;3;0;3;3;0;-;-;-;-;-;-;-;1
hig*************;3;3;0;3;3;0;-;-;-;-;-;-;-;1
tes********;3;3;0;2;2;0;-;-;-;-;-;-;-;0,666667
Tar************;10;10;0;9;9;0;-;-;-;+;+;-;+;0,9
Dat*******;5;5;0;10;5;5;-;-;-;-;-;-;-;1
Tar************;6;6;0;8;6;2;-;-;-;-;-;-;-;1
Tar*****************************;8;8;0;6;6;0;-;-;-;-;-;-;-;0,75
Tar******************;9;9;0;5;5;0;-;-;-;-;-;-;-;0,555556
Tar******************;4;4;0;3;3;0;-;-;-;+;-;-;-;0,75
Tar******************;3;3;0;3;3;0;-;-;-;-;-;-;-;1
Tar******************;3;3;0;3;3;0;-;-;-;-;-;-;-;1
Com********************;13;13;0;18;13;5;-;-;-;-;-;-;-;1
Use**********;15;15;0;23;19;4;-;-;-;-;-;-;-;1,266667
AKY**************;0;0;0;0;0;0;-;-;-;-;-;-;-;1,266667
SYS;10;10;0;18;10;8;-;-;-;-;-;-;-;1
SYS**************;0;0;0;0;0;0;-;-;-;-;-;-;-;1
GBD**********;6;6;0;14;7;7;-;-;-;-;-;-;-;1,166667
GBD***************;0;0;0;0;0;0;-;-;-;-;-;-;-;1,166667
Mod***************;2;2;0;2;1;1;-;-;-;-;-;-;-;0,5
Mod**************;2;2;0;2;1;1;-;-;-;-;-;-;-;0,5
Rad*****************;3;3;0;4;2;2;-;-;-;+;-;-;+;0,666667
Fir**********;16;15;1;54;22;32;-;-;-;-;-;-;-;1,466667
Con*****************;51;44;7;101;66;35;-;-;-;-;-;-;-;1,5
Lay**********;75;68;7;138;108;30;-;+;+;-;-;+;-;1,588235
Tra*********;25;23;2;47;30;17;-;+;-;-;-;-;-;1,304348
Sta***********;179;163;16;189;177;12;-;-;+;-;+;+;-;1,08589
Shu************;15;13;2;18;15;3;-;-;-;-;-;-;-;1,153846
Tim*****;4;4;0;6;4;2;-;-;-;-;-;-;-;1
Sys********************;11;11;0;28;5;23;-;-;-;-;-;-;-;0,454545
EOO****************;109;105;4;185;133;52;-;-;+;-;-;-;-;1,266667
Vid******************;4;4;0;3;3;0;-;-;-;-;-;-;-;0,75
SYS*******************;6;6;0;19;8;11;-;-;-;-;-;-;-;1,333333
Set***********;4;4;0;8;4;4;-;-;-;-;-;-;-;1
Dri*****************;10;9;1;20;7;13;-;-;-;-;-;-;-;0,777778
Set***********;4;4;0;30;4;26;-;-;-;-;-;-;-;1
Tur*************;7;7;0;12;5;7;-;-;-;-;-;-;-;0,714286
Mov******************;7;7;0;11;5;6;-;-;-;-;-;-;-;0,714286
Fir**************;7;7;0;11;5;6;-;-;-;-;-;-;-;0,714286
Pos***********;17;16;1;19;15;4;-;-;-;-;-;-;-;0,9375
Opt*********************;17;16;1;26;15;11;-;-;-;-;-;-;-;0,9375
Zer*******;17;16;1;19;14;5;-;-;-;-;-;-;-;0,875
Ima********;9;8;1;12;7;5;-;-;-;-;-;-;-;0,875
Sen****************;11;10;1;13;9;4;-;-;-;-;-;-;-;0,9
PIO*******;2;2;0;1;1;0;-;-;-;-;-;-;+;0,5
Dev*****************;4;4;0;16;5;11;-;-;-;-;-;-;-;1,25
Dev*************************;5;5;0;11;6;5;-;-;-;-;-;-;-;1,2
Ser***************;3;3;0;3;2;1;-;-;-;-;-;-;-;0,666667
Can************;3;3;0;3;2;1;-;-;-;-;-;-;-;0,666667
TCP************;2;2;0;2;1;1;-;-;-;-;-;-;-;0,5
UDP************;2;2;0;3;2;1;-;-;-;-;-;-;-;1
Pla********;4;4;0;13;5;8;-;-;+;-;-;-;-;1,25
Fra*******;3;3;0;12;3;9;-;-;-;-;-;-;-;1
Ini*;5;5;0;9;4;5;-;-;-;+;+;-;-;0,8
act*****;3;3;0;5;4;1;-;-;-;+;-;-;-;1,333333
lev*************;2;2;0;3;1;2;-;-;-;+;-;-;-;0,5
Veh***********;3;3;0;2;2;0;-;-;-;-;-;-;-;0,666667
Fir************;60;56;4;114;79;35;-;+;-;-;-;-;-;1,410714
Fir*******************;8;8;0;22;3;19;-;-;-;-;-;-;-;0,375
FSS*****;2;2;0;8;0;8;-;-;-;-;-;-;-;0
Tar*************;8;8;0;13;9;4;-;-;+;-;-;-;-;1,125
VxE*********;2;2;0;2;2;0;-;-;-;-;-;-;-;1
VxC************;2;2;0;2;1;1;-;-;-;-;-;-;-;0,5
VxD***********;2;2;0;5;1;4;-;-;-;-;-;-;-;0,5
VxD***************;2;2;0;6;2;4;-;-;-;-;-;-;-;1
VxC******************;5;5;0;7;6;1;-;-;-;+;-;-;-;1,2
VxC***************;2;2;0;3;1;2;-;-;-;-;-;-;-;0,5
vxC************;4;4;0;6;5;1;-;-;-;+;-;-;-;1,25
VxP**;2;2;0;2;1;1;-;-;-;-;-;-;-;0,5
VxC******;2;2;0;3;2;1;-;-;-;-;-;-;-;1
VxL*****;2;2;0;3;1;2;-;-;-;-;-;-;-;0,5
VxC**************;3;3;0;5;4;1;-;-;-;+;-;-;-;1,333333
OMH***********;2;2;0;2;2;0;-;-;-;-;-;-;-;1
OMC***;4;4;0;6;6;0;-;-;+;-;-;-;-;1,5
