[Name];#N;#S;#C;#T;#E;#I;1;2;3;4;5;6;7;Complexity
UIM******;546;523;23;765;562;203;-;+;+;-;+;-;-;1,07457
INo*****************************;4;4;0;7;5;2;-;-;+;-;-;-;-;1,25
INo**********************************;13;13;0;19;15;4;-;-;+;-;-;-;-;1,153846
INo**;16;15;1;21;17;4;-;+;+;-;-;-;-;1,133333
INo****************************;17;15;2;41;31;10;+;+;+;-;-;-;-;2,066667
INo*********************************;15;14;1;34;26;8;-;+;+;-;-;-;-;1,857143
INo***********************;13;13;0;17;14;3;-;+;+;-;-;-;-;1,076923
INo********************;4;4;0;6;4;2;-;-;-;-;-;-;-;1
INo**********************;13;13;0;20;16;4;-;+;+;-;-;-;-;1,230769
INo************************;5;4;1;13;12;1;+;-;-;-;-;-;-;3
INo*************************;5;5;0;13;8;5;-;-;+;-;-;-;-;1,6
INo**********************;8;6;2;11;10;1;-;-;-;-;-;-;-;1,666667
INo*********************;10;10;0;12;9;3;-;+;-;-;+;-;-;0,9
INo***********************;6;6;0;9;7;2;-;-;-;-;-;-;-;1,166667
INo*******************************************;5;5;0;7;5;2;-;-;-;-;-;-;-;1
INo****************;6;6;0;9;7;2;-;-;-;-;-;-;-;1,166667
INo****************;6;6;0;9;7;2;-;-;-;-;-;-;-;1,166667
INo***********************;6;6;0;13;8;5;-;-;+;-;-;-;-;1,333333
INo***************************************;16;15;1;33;23;10;-;-;+;-;-;-;+;1,533333
INo********************;23;22;1;34;27;7;-;+;+;-;-;-;-;1,227273
INo************************************;20;18;2;42;35;7;-;+;+;-;-;-;-;1,944444
INo**************************;4;4;0;8;4;4;-;-;-;-;-;-;-;1
INo*******************************;5;5;0;9;7;2;-;-;-;-;-;-;-;1,4
INo*********************************;10;10;0;19;14;5;-;-;+;-;-;-;-;1,4
INo**************************;27;24;3;71;40;31;-;+;+;-;-;-;-;1,666667
INo****************************;5;5;0;8;6;2;-;-;-;-;-;-;-;1,2
INo***********************************;8;7;1;18;13;5;-;-;-;-;-;-;-;1,857143
INo*********************************;11;11;0;17;13;4;-;+;+;-;-;-;-;1,181818
INo******************************;13;13;0;18;14;4;-;-;+;-;-;-;-;1,076923
INo************************;6;5;1;16;15;1;+;-;-;-;-;-;-;3
INo******************************;6;6;0;9;7;2;-;-;-;-;-;-;-;1,166667
INo*******************************;5;5;0;10;7;3;-;-;+;-;-;-;-;1,4
INo***********************************;6;6;0;9;6;3;-;-;-;-;-;-;-;1
INo*************************;15;15;0;36;26;10;-;+;+;-;-;-;-;1,733333
INo******************************;15;15;0;39;28;11;-;-;+;-;-;-;-;1,866667
INo*****************************************;7;7;0;14;9;5;-;+;-;-;-;-;-;1,285714
INo***********************;7;7;0;11;9;2;-;-;+;-;-;-;-;1,285714
INo***********************************;13;13;0;29;20;9;-;-;+;-;-;-;-;1,538462
INo***********************************************;6;6;0;11;7;4;-;-;-;-;-;-;-;1,166667
INo********************************;5;5;0;9;6;3;-;-;+;-;-;-;-;1,2
INo*********************************;5;5;0;8;5;3;-;-;-;-;-;-;-;1
INo*****************************;4;4;0;7;5;2;-;-;+;-;-;-;-;1,25
INo*************************;4;4;0;7;5;2;-;-;+;-;-;-;-;1,25
INo*************************************************;16;16;0;25;18;7;-;+;+;-;-;-;-;1,125
INo************************************;6;6;0;9;7;2;-;-;-;-;-;-;-;1,166667
INo*****************************;4;4;0;7;5;2;-;-;+;-;-;-;-;1,25
INo*********************************;6;6;0;9;6;3;-;-;-;-;-;-;-;1
INo****************************************;12;12;0;22;17;5;-;-;+;-;-;-;-;1,416667
INo******************************************;4;4;0;7;5;2;-;-;+;-;-;-;-;1,25
INo***************************************;4;4;0;7;5;2;-;-;+;-;-;-;-;1,25
INo**********************************;7;7;0;11;7;4;-;-;+;-;-;-;-;1
INo************************************;4;4;0;7;5;2;-;-;+;-;-;-;-;1,25
INo*********************************************;10;9;1;20;14;6;-;+;+;-;-;-;-;1,555556
INo*******************************;4;4;0;6;4;2;-;-;-;-;-;-;-;1
INo*********************************************;6;6;0;11;8;3;-;-;+;-;-;-;-;1,333333
INo********************************************;4;4;0;7;5;2;-;-;+;-;-;-;-;1,25
INo***********************************************;13;13;0;29;20;9;-;-;+;-;-;-;-;1,538462
INo***************;4;4;0;7;5;2;-;-;-;-;-;-;-;1,25
INo*****************************;4;4;0;7;5;2;-;-;-;-;-;-;-;1,25
INo*********************************;21;21;0;49;33;16;-;+;+;-;-;-;-;1,571429
INo******************************;4;4;0;8;5;3;-;-;+;-;-;-;-;1,25
INo**********************************;20;20;0;48;32;16;-;+;+;-;-;-;-;1,6
INo****************************************;4;4;0;6;4;2;-;-;-;-;-;-;-;1
INo**************************;10;10;0;21;15;6;-;-;+;-;-;-;-;1,5
INo**********************************************;16;16;0;22;17;5;-;+;+;-;-;-;-;1,0625
INo*************************************************;6;6;0;9;7;2;-;-;+;-;-;-;-;1,166667
INo************************************************;4;4;0;7;5;2;-;-;+;-;-;-;-;1,25
INo******************************************;23;23;0;26;22;4;-;-;+;-;-;-;-;0,956522
INo*************************************;7;7;0;12;9;3;-;-;+;-;-;-;-;1,285714
INo************************************;13;13;0;21;16;5;-;+;+;-;-;-;-;1,230769
INo****************************************;4;4;0;7;5;2;-;-;+;-;-;-;-;1,25
INo****************************************;4;4;0;7;5;2;-;-;+;-;-;-;-;1,25
INo*************************;10;10;0;22;17;5;-;-;+;-;-;-;-;1,7
INo*******************************************;14;14;0;32;22;10;-;-;+;-;-;-;-;1,571429
INo**************************;7;7;0;12;9;3;-;-;+;-;-;-;-;1,285714
INo**********************************;8;8;0;13;10;3;-;-;+;-;-;-;-;1,25
INo**********************;4;4;0;7;5;2;-;-;-;-;-;-;-;1,25
INo***************************************;5;5;0;9;7;2;-;-;+;-;-;-;-;1,4
INo*********************************;4;4;0;7;5;2;-;-;+;-;-;-;-;1,25
INo*************************;5;5;0;8;6;2;-;-;+;-;-;-;-;1,2
INo*******************************;6;6;0;12;6;6;-;+;-;-;-;-;-;1
INo***********************************************;4;4;0;7;5;2;-;-;+;-;-;-;-;1,25
INo****************************************************;4;4;0;7;5;2;-;-;+;-;-;-;-;1,25
INo***************************************;4;4;0;7;5;2;-;-;+;-;-;-;-;1,25
INo*******************************************************;4;4;0;7;5;2;-;-;+;-;-;-;-;1,25
INo**************************************************;4;4;0;7;5;2;-;-;+;-;-;-;-;1,25
INo**********************************;4;4;0;7;5;2;-;-;+;-;-;-;-;1,25
Sys*************;1035;944;91;1340;1065;275;-;+;+;-;+;+;-;1,128178
Pos*************;2;2;0;1;0;1;-;-;-;-;-;-;-;0
Aut***************;33;31;2;46;37;9;-;+;+;-;-;-;-;1,193548
Err*****;4;4;0;6;4;2;-;-;-;-;-;-;-;1
tas********;7;7;0;8;6;2;-;+;-;-;-;-;-;0,857143
low************;3;3;0;3;3;0;-;-;-;-;-;-;-;1
hig*************;3;3;0;3;3;0;-;-;-;-;-;-;-;1
tes********;3;3;0;2;2;0;-;-;-;-;-;-;-;0,666667
Dat*******;4;4;0;9;4;5;-;-;-;-;-;-;-;1
Emb***********************;28;28;0;35;28;7;-;-;+;-;-;-;-;1
ESI******;17;17;0;13;12;1;-;+;-;-;+;-;-;0,705882
Tar************;6;6;0;8;6;2;-;-;-;-;-;-;-;1
Tar*****************************;8;8;0;6;6;0;-;-;-;-;-;-;-;0,75
Tar******************;9;9;0;5;5;0;-;-;-;-;-;-;-;0,555556
Tar******************;4;4;0;3;3;0;-;-;-;+;-;-;-;0,75
Tar******************;3;3;0;3;3;0;-;-;-;-;-;-;-;1
Tar******************;3;3;0;3;3;0;-;-;-;-;-;-;-;1
TAK**********;31;31;0;41;29;12;-;+;-;-;+;-;-;0,935484
MAS**********;5;5;0;6;6;0;-;-;-;-;-;-;-;1,2
FIR*************;8;8;0;7;4;3;-;-;-;-;-;-;-;0,5
FIR**********;6;6;0;7;6;1;-;-;-;-;-;-;-;1
FIR*************;2;2;0;1;1;0;-;-;-;-;-;-;-;0,5
FIR******************;5;5;0;7;5;2;-;-;-;-;-;-;-;1
TEP***********;10;10;0;8;8;0;-;-;-;-;-;-;-;0,8
TEP****************;5;5;0;7;5;2;-;-;-;-;-;-;-;1
AKS*********;11;11;0;12;10;2;-;-;-;-;-;-;-;0,909091
Kar**************;15;15;0;16;14;2;-;-;-;-;-;-;-;0,933333
She**************;12;12;0;16;10;6;-;-;-;-;-;-;-;0,833333
TKK************;3;3;0;5;3;2;-;-;-;-;-;-;-;1
TKK*****************;5;5;0;7;5;2;-;-;-;-;-;-;-;1
Dat*******;8;8;0;10;6;4;-;-;-;-;-;-;-;0,75
IKA*********;8;8;0;14;7;7;-;-;-;-;-;-;-;0,875
IKA**************;5;5;0;7;5;2;-;-;-;-;-;-;-;1
Use**********;13;13;0;21;17;4;-;-;-;-;-;-;-;1,307692
AKY**************;5;5;0;9;5;4;-;-;-;-;-;-;-;1
Mod***************;2;2;0;2;1;1;-;-;-;-;-;-;-;0,5
Mod**************;2;2;0;2;1;1;-;-;-;-;-;-;-;0,5
Rad*****************;3;3;0;4;2;2;-;-;-;+;-;-;+;0,666667
Emb********************;2;2;0;3;0;3;-;-;-;+;-;-;-;0
Emb**********************;12;12;0;20;10;10;-;-;-;-;+;-;-;0,833333
PIO*******;2;2;0;1;1;0;-;-;-;-;-;-;+;0,5
Dev*****************;4;4;0;16;5;11;-;-;-;-;-;-;-;1,25
Dev*************************;5;5;0;11;6;5;-;-;-;-;-;-;-;1,2
Ser***************;3;3;0;3;2;1;-;-;-;-;-;-;-;0,666667
Can************;3;3;0;3;2;1;-;-;-;-;-;-;-;0,666667
TCP************;2;2;0;2;1;1;-;-;-;-;-;-;-;0,5
UDP************;2;2;0;3;2;1;-;-;-;-;-;-;-;1
Pla********;4;4;0;13;5;8;-;-;+;-;-;-;-;1,25
Fra*******;3;3;0;12;3;9;-;-;-;-;-;-;-;1
Ini*;5;5;0;9;4;5;-;-;-;+;+;-;-;0,8
act*****;3;3;0;5;4;1;-;-;-;+;-;-;-;1,333333
lev*************;2;2;0;3;1;2;-;-;-;+;-;-;-;0,5
Veh***********;3;3;0;2;2;0;-;-;-;-;-;-;-;0,666667
Fir************;60;56;4;114;79;35;-;+;-;-;-;-;-;1,410714
Fir*******************;8;8;0;22;3;19;-;-;-;-;-;-;-;0,375
FSS*****;2;2;0;8;0;8;-;-;-;-;-;-;-;0
Tar*************;8;8;0;13;9;4;-;-;+;-;-;-;-;1,125
OMH***********;2;2;0;2;2;0;-;-;-;-;-;-;-;1
OMC***;4;4;0;6;6;0;-;-;+;-;-;-;-;1,5
